publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype, depthtype,evaluationmethod, evaluationstatus, evaluationmode, earthmodel, usedphasecount,usedstationcount,magnitudestationcount, minimumdistance,azimuthalgap,originerror,magnitudeuncertainty,distance
3366146,earthquake,2010-09-03T16:35:41.836Z,2013-07-16T14:04:00.000Z,172.16794,-43.52731,7.2,11.0426,Mw,,GROPE,reviewed,,nz1dr,21,16,,0.06,82,0.14312,,0
3669651,earthquake,2010-09-03T16:37:02.619Z,2013-07-16T14:51:00.000Z,172.32367,-43.55426,5.815,10.0257,ML,,GROPE,reviewed,,nz1dr,39,23,7,0.058,57,0.18791,0.251,12.90512604
3669661,earthquake,2010-09-03T16:37:17.769Z,2013-07-16T14:51:00.000Z,172.38512,-43.6585,5.114,7.8273,ML,,GROPE,reviewed,,nz1dr,21,12,3,0.064,253,0.08527,0.186,22.77521405
3669676,earthquake,2010-09-03T16:37:36.322Z,2013-07-16T14:51:00.000Z,172.29477,-43.5661,5.532,11.8823,ML,,GROPE,reviewed,,nz1dr,46,26,6,0.069,68,0.24771,0.149,11.0946823
3672822,earthquake,2010-09-03T16:38:17.243Z,2013-07-16T14:51:00.000Z,172.18575,-43.4711,5.434,6.2919,ML,,GROPE,reviewed,,nz1dr,20,14,7,0.064,88,0.38259,0.19,6.413226439
3672831,earthquake,2010-09-03T16:38:42.458Z,2013-07-16T14:51:00.000Z,172.11847,-43.49201,5.162,10.1591,ML,,GROPE,reviewed,,nz1dr,20,11,9,0.012,154,0.27886,0.213,5.596716492
3672856,earthquake,2010-09-03T16:39:03.708Z,2013-07-16T14:51:00.000Z,172.11028,-43.62283,5.335,17.6058,ML,,GROPE,reviewed,,nz1dr,18,10,10,0.132,222,0.38813,0.199,11.59260109
3696092,earthquake,2010-09-03T16:39:56.876Z,2013-07-16T14:51:00.000Z,172.21217,-43.59541,4.921,14.2405,ML,,GROPE,reviewed,,nz1dr,18,10,7,0.194,152,0.28076,0.225,8.369112508
3696204,earthquake,2010-09-03T16:40:13.749Z,2013-07-16T14:51:00.000Z,172.4296,-43.68362,4.565,8.317,ML,,GROPE,reviewed,,nz1dr,18,10,5,0.065,222,0.12544,0.302,27.31220658
3696220,earthquake,2010-09-03T16:40:20.677Z,2013-07-16T14:51:00.000Z,172.54439,-43.58787,4.75,24.8006,ML,,GROPE,reviewed,,nz1dr,20,11,5,0.058,89,0.32507,0.195,31.07312175
3696231,earthquake,2010-09-03T16:41:17.829Z,2013-07-16T14:51:00.000Z,172.30362,-43.58586,4.971,9.8851,ML,,GROPE,reviewed,,nz1dr,28,18,8,0.057,187,0.22716,0.254,12.72499489
3696594,earthquake,2010-09-03T16:42:00.732Z,2013-07-16T14:51:00.000Z,172.37521,-43.66354,4.822,5,ML,operator assigned,GROPE,reviewed,,nz1dr,19,10,8,0.2,209,0.17051,0.349,22.54042896
3696610,earthquake,2010-09-03T16:42:20.864Z,2013-07-16T14:51:00.000Z,172.23647,-43.64153,4.945,11.2593,ML,,GROPE,reviewed,,nz1dr,38,21,9,0.039,123,0.25172,0.167,13.84828654
3696710,earthquake,2010-09-03T16:42:28.762Z,2013-07-16T14:51:00.000Z,172.27835,-43.63268,4.912,8.1763,ML,,GROPE,reviewed,,nz1dr,26,17,8,0.069,132,0.26706,0.221,14.70971153
3696695,earthquake,2010-09-03T16:42:47.272Z,2013-07-16T14:51:00.000Z,172.41315,-43.60732,4.979,9.3622,ML,,GROPE,reviewed,,nz1dr,35,21,10,0.027,90,0.28514,0.219,21.66686918
3696722,earthquake,2010-09-03T16:43:28.731Z,2013-07-16T14:51:00.000Z,172.16673,-43.60926,5.144,9.4878,ML,,GROPE,reviewed,,nz1dr,33,22,25,0.061,63,0.22816,0.248,9.112945679
3696750,earthquake,2010-09-03T16:43:51.204Z,2013-07-16T14:51:00.000Z,172.27443,-43.61766,4.569,12.7419,ML,,GROPE,reviewed,,nz1dr,24,15,8,0.076,119,0.22072,0.207,13.21096693
3698442,earthquake,2010-09-03T16:44:12.573Z,2013-07-16T14:51:00.000Z,172.40707,-43.64999,4.491,11.324,ML,,GROPE,reviewed,,nz1dr,15,8,7,0.173,245,0.12576,0.253,23.60108156
3699473,earthquake,2010-09-03T16:44:57.324Z,2013-07-16T14:51:00.000Z,172.16286,-43.46124,5.359,6.6817,ML,,GROPE,reviewed,,nz1dr,36,28,30,0.054,78,0.27928,0.286,7.358068309
3710466,earthquake,2010-09-03T16:45:31.618Z,2013-07-16T14:51:00.000Z,172.40086,-43.60709,4.727,18.6778,ML,,GROPE,reviewed,,nz1dr,23,12,7,0.154,144,0.30329,0.207,20.75708415
3710559,earthquake,2010-09-03T16:46:07.866Z,2013-07-16T14:51:00.000Z,172.17003,-43.47633,4.817,7.1462,ML,,GROPE,reviewed,,nz1dr,14,7,13,0.052,129,0.17728,0.248,5.67122318
3711185,earthquake,2010-09-03T16:46:35.737Z,2013-07-16T14:51:00.000Z,172.23813,-43.57198,4.516,5,ML,operator assigned,GROPE,reviewed,,nz1dr,12,7,9,0.128,146,0.37541,0.182,7.527973153
3711189,earthquake,2010-09-03T16:47:25.465Z,2013-07-16T14:51:00.000Z,171.90025,-43.64566,4.414,5,ML,operator assigned,GROPE,reviewed,,nz1dr,13,7,10,0.213,166,0.34929,0.215,25.25929945
3711193,earthquake,2010-09-03T16:48:02.459Z,2013-07-16T14:51:00.000Z,172.35774,-43.6156,4.429,13.2374,ML,,GROPE,reviewed,,nz1dr,15,9,10,0.197,150,0.19393,0.241,18.17107825
3739976,earthquake,2010-09-03T16:48:09.100Z,2013-07-16T14:51:00.000Z,172.19954,-43.61805,4.382,31.4,ML,,GROPE,reviewed,,nz1dr,16,8,7,0.145,158,0.49344,0.264,10.40602289
3740456,earthquake,2010-09-03T16:48:30.194Z,2013-07-16T14:51:00.000Z,172.44824,-43.6536,4.324,6.1263,ML,,GROPE,reviewed,,nz1dr,22,15,6,0.032,156,0.17986,0.298,26.58586696
3740486,earthquake,2010-09-03T16:48:49.770Z,2013-07-16T14:51:00.000Z,172.32207,-43.60859,4.95,8.559,ML,,GROPE,reviewed,,nz1dr,39,23,12,0.045,121,0.3306,0.242,15.35857835
3366152,earthquake,2010-09-03T16:49:49.877Z,2013-07-16T14:04:00.000Z,172.48775,-43.54868,4.174,20.357,ML,,GROPE,reviewed,,nz1dr,23,12,5,0.071,119,0.1555,0.157,25.88824995
3741612,earthquake,2010-09-03T16:50:05.693Z,2013-07-16T14:51:00.000Z,172.15205,-43.52158,4.664,9.2996,ML,,GROPE,reviewed,,nz1dr,30,18,14,0.047,98,0.27132,0.25,1.430826737
3366161,earthquake,2010-09-03T16:51:06.788Z,2013-07-16T14:04:00.000Z,172.36874,-43.60562,4.343,9.4366,ML,,GROPE,reviewed,,nz1dr,25,15,8,0.139,120,0.26244,0.165,18.37280446
3366154,earthquake,2010-09-03T16:52:56.304Z,2013-07-16T14:04:00.000Z,172.40279,-43.59917,5.468,7.4831,ML,,GROPE,reviewed,,nz1dr,53,35,26,0.017,86,0.27001,0.27,20.54055734
3366155,earthquake,2010-09-03T16:56:10.575Z,2013-07-31T15:29:00.000Z,172.20514,-43.6309,4.751,9.5176,ML,,GROPE,reviewed,,nz1dr,31,20,57,0.039,85,0.29807,0.279,11.90207118
3744170,earthquake,2010-09-03T16:57:05.391Z,2013-07-16T14:51:00.000Z,172.25459,-43.62086,3.737,11.1523,ML,,GROPE,reviewed,,nz1dr,10,5,5,0.171,212,0.24828,0.081,12.52732598
