longitude, latitude
172.16794,-43.52731
172.32367,-43.55426
172.38512,-43.6585
172.29477,-43.5661
172.18575,-43.4711
172.11847,-43.49201
172.11028,-43.62283
172.21217,-43.59541
172.4296,-43.68362
172.54439,-43.58787
172.30362,-43.58586
172.37521,-43.66354
172.23647,-43.64153
172.27835,-43.63268
172.41315,-43.60732
172.16673,-43.60926
172.27443,-43.61766
172.40707,-43.64999
172.16286,-43.46124
172.40086,-43.60709
172.17003,-43.47633
172.23813,-43.57198
171.90025,-43.64566
172.35774,-43.6156
172.19954,-43.61805
172.44824,-43.6536
172.32207,-43.60859
172.48775,-43.54868
172.15205,-43.52158
172.36874,-43.60562
172.40279,-43.59917
172.20514,-43.6309
172.25459,-43.62086
172.12369,-43.65435
172.41252,-43.47221
172.20256,-43.60182
172.21004,-43.61625
172.42267,-43.60178
172.22412,-43.60673
172.39214,-43.61933
172.54507,-43.61502
171.96542,-43.42382
172.27841,-43.62322
172.37897,-43.55125
172.24101,-43.62859
172.11301,-43.54909
172.45435,-43.61747
172.37834,-43.41101
172.4102,-43.60401
171.96031,-43.51437
172.43463,-43.63962
172.32454,-43.59659
172.44044,-43.66763
172.49609,-43.6358
172.37679,-43.59209
172.1541,-43.59937
172.18248,-43.58258
171.90456,-43.5519
171.92424,-43.5533
172.09161,-43.61933
172.35083,-43.58913
171.86795,-43.55365
172.15027,-43.46167
172.26309,-43.63627
171.87665,-43.54924
172.42139,-43.6554
172.41945,-43.64859
172.3445,-43.58962
172.09457,-43.59563
172.33667,-43.57727
172.03815,-43.58954
172.04362,-43.58209
171.93301,-43.50891
172.42651,-43.61386
171.981,-43.52064
172.09627,-43.58116
172.30588,-43.57518
172.07645,-43.62188
171.87042,-43.5463
172.29759,-43.57589
172.15967,-43.52707
171.98218,-43.52419
172.19775,-43.6185
172.36713,-43.56803
172.16035,-43.49445
172.3916,-43.56511
172.21344,-43.57799
172.24231,-43.55423
172.21379,-43.63201
172.16214,-43.48512
172.39746,-43.58581
172.20213,-43.598
171.91266,-43.56144
172.18985,-43.4667
172.18355,-43.44917
172.15215,-43.50172
172.33322,-43.5995
172.31989,-43.63719
172.57639,-43.62542
172.31593,-43.56948
172.52415,-43.55025
172.43193,-43.57899
172.16052,-43.58697
172.0088,-43.55745
172.12166,-43.60501
172.0986,-43.51294
172.19545,-43.54142
172.1881,-43.5922
172.00301,-43.51379
171.94992,-43.47793
172.19292,-43.59906
172.15111,-43.49399
171.95787,-43.52837
172.41998,-43.65785
172.64563,-43.62341
172.3681,-43.65718
172.34909,-43.64157
172.1776,-43.48444
172.20988,-43.57866
172.44025,-43.53471
172.1217,-43.62795
172.17479,-43.46814
171.88933,-43.56837
172.33469,-43.68073
171.76793,-43.5664
172.38113,-43.58765
172.2957,-43.58936
172.40912,-43.61632
172.01489,-43.55053
172.24362,-43.58006
171.91075,-43.56587
172.29861,-43.60468
172.37221,-43.62337
171.98225,-43.60041
172.4422,-43.65592
172.35045,-43.59398
171.87764,-43.59034
172.18607,-43.45727
172.03004,-43.71103
172.24127,-43.59666
172.40393,-43.62034
172.23857,-43.65031
172.31216,-43.56051
172.21492,-43.56371
172.3909,-43.61522
172.28584,-43.56379
172.14253,-43.61903
171.86209,-43.55952
172.03871,-43.56707
172.28329,-43.59722
172.05132,-43.5977
172.1559,-43.58944
172.17863,-43.60236
172.26147,-43.50686
172.34186,-43.58797
171.91864,-43.59831
171.93265,-43.5714
172.39465,-43.60268
172.38315,-43.6246
172.41464,-43.63718
171.86908,-43.56821
172.78311,-43.67744
172.36015,-43.62086
172.13179,-43.48333
172.37329,-43.64251
172.12587,-43.52039
172.14586,-43.57332
172.35283,-43.62333
172.14256,-43.57784
172.35619,-43.57591
172.18134,-43.59245
172.41757,-43.61236
171.74586,-43.68582
172.22552,-43.56639
172.21689,-43.58671
172.24094,-43.65182
171.97409,-43.51653
172.18736,-43.58545
172.45381,-43.62324
172.18239,-43.49659
171.98123,-43.5359
172.21678,-43.56539
172.06158,-43.60017
172.71423,-43.53712
172.2014,-43.63544
172.23175,-43.5606
172.38969,-43.629
172.15208,-43.57822
172.1759,-43.47049
171.93036,-43.56152
172.37663,-43.64319
172.20227,-43.57238
172.16713,-43.45979
172.38457,-43.56495
172.13434,-43.52434
172.36519,-43.58719
172.32555,-43.54547
172.1993,-43.48877
172.24591,-43.61634
171.84972,-43.56121
172.19493,-43.56981
172.17209,-43.59524
172.06744,-43.61099
172.28746,-43.6149
172.30405,-43.55462
172.34734,-43.60829
171.87758,-43.56702
172.25801,-43.60332
172.38414,-43.58119
172.4359,-43.66308
172.47163,-43.63888
172.1165,-43.5947
172.34676,-43.59018
172.37738,-43.5607
171.92126,-43.56728
172.23676,-43.62017
172.12709,-43.51032
172.20291,-43.55304
172.29262,-43.58553
172.18323,-43.62764
172.3454,-43.59164
172.52646,-43.51237
172.19888,-43.512
171.9897,-43.56758
172.24605,-43.685
172.06989,-43.59444
171.95135,-43.57582
172.18819,-43.5976
172.18999,-43.56454
172.40186,-43.58372
172.40242,-43.59412
172.13329,-43.53292
172.16226,-43.47335
172.10452,-43.53453
172.23663,-43.61254
172.40489,-43.50297
172.36053,-43.62069
171.88409,-43.58549
171.88499,-43.57277
172.35338,-43.55885
172.35081,-43.61351
172.34505,-43.55161
172.02159,-43.37907
172.1277,-43.5916
172.37247,-43.58784
171.89575,-43.56173
172.29364,-43.62775
171.93831,-43.56766
172.15663,-43.49926
172.11063,-43.59458
172.16,-43.50596
172.19763,-43.58089
172.18799,-43.53481
172.90739,-43.77293
171.86494,-43.53433
172.37065,-43.57023
172.37668,-43.5676
172.41133,-43.6416
172.25665,-43.5359
172.18466,-43.57984
172.36946,-43.56889
172.29625,-43.59651
171.98843,-43.51096
172.29173,-43.62775
171.94566,-43.52047
172.36682,-43.56866
172.3358,-43.61222
172.89784,-43.52876
172.37373,-43.5656
172.39102,-43.58171
172.2113,-43.60784
172.39412,-43.55283
171.94312,-43.53643
172.31667,-43.60709
172.14935,-43.50447
172.39444,-43.55692
172.33728,-43.54692
172.40768,-43.56427
172.16614,-43.46335
172.07832,-43.59616
172.22733,-43.5639
172.33929,-43.56008
172.50261,-43.65575
172.42409,-43.62831
172.28075,-43.51095
172.37587,-43.64032
171.95306,-43.57082
172.09174,-43.30871
172.334,-43.61383
172.32762,-43.6132
172.18898,-43.54802
172.13431,-43.49733
172.3513,-43.57739
172.18881,-43.53963
172.26387,-43.62392
172.38968,-43.59166
172.29984,-43.60524
172.10933,-43.58831
172.38275,-43.64339
172.17757,-43.63984
172.13132,-43.61146
172.23256,-43.4652
172.10887,-43.55689
172.28046,-43.60915
172.21495,-43.62139
