longitde,latitude,depth,SOM cluster,DBSCAN cluster,KMEAN cluster
172.16794,-43.52731,11.0426,0,0,1
172.32367,-43.55426,10.0257,0,1,3
172.38512,-43.6585,7.8273,0,1,3
172.29477,-43.5661,11.8823,3,2,1
172.18575,-43.4711,6.2919,1,1,0
172.11847,-43.49201,10.1591,0,1,3
172.11028,-43.62283,17.6058,2,0,1
172.21217,-43.59541,14.2405,3,0,1
172.4296,-43.68362,8.317,0,1,3
172.54439,-43.58787,24.8006,2,0,2
172.30362,-43.58586,9.8851,0,1,3
172.37521,-43.66354,5,1,1,0
172.23647,-43.64153,11.2593,3,0,1
172.27835,-43.63268,8.1763,0,1,3
172.41315,-43.60732,9.3622,0,1,3
172.16673,-43.60926,9.4878,0,1,3
172.27443,-43.61766,12.7419,3,0,1
172.40707,-43.64999,11.324,3,0,1
172.16286,-43.46124,6.6817,1,1,0
172.40086,-43.60709,18.6778,2,0,2
172.17003,-43.47633,7.1462,0,1,3
172.23813,-43.57198,5,1,1,0
171.90025,-43.64566,5,1,1,0
172.35774,-43.6156,13.2374,3,0,1
172.19954,-43.61805,31.4,2,0,2
172.44824,-43.6536,6.1263,1,1,0
172.32207,-43.60859,8.559,0,1,3
172.48775,-43.54868,20.357,2,0,2
172.15205,-43.52158,9.2996,0,1,3
172.36874,-43.60562,9.4366,0,1,3
172.40279,-43.59917,7.4831,0,1,3
172.20514,-43.6309,9.5176,0,1,3
172.25459,-43.62086,11.1523,3,0,1
172.12369,-43.65435,10.1487,0,1,3
172.41252,-43.47221,5,1,1,0
172.20256,-43.60182,9.1392,0,1,3
172.21004,-43.61625,8.0537,0,1,3
172.42267,-43.60178,7.4454,0,1,3
172.22412,-43.60673,9.514,0,1,3
172.39214,-43.61933,9.1659,0,1,3
172.54507,-43.61502,21.6932,2,0,2
171.96542,-43.42382,11.9575,0,2,1
172.27841,-43.62322,8.872,0,1,3
172.37897,-43.55125,5,1,1,0
172.24101,-43.62859,5,1,1,0
172.11301,-43.54909,9.9906,0,1,3
172.45435,-43.61747,7.0828,0,1,3
172.37834,-43.41101,33,2,0,2
172.4102,-43.60401,8.8772,0,1,3
171.96031,-43.51437,5,1,1,0
172.43463,-43.63962,5,1,1,0
172.32454,-43.59659,5,1,1,0
172.44044,-43.66763,5,1,1,0
172.49609,-43.6358,18.0402,2,0,2
172.37679,-43.59209,10,0,1,3
172.1541,-43.59937,8.3859,0,1,3
172.18248,-43.58258,5.7404,1,1,0
171.90456,-43.5519,10.477,3,0,3
171.92424,-43.5533,7.6136,1,1,3
172.09161,-43.61933,11.0415,3,0,1
172.35083,-43.58913,12,3,2,1
171.86795,-43.55365,12,3,2,1
172.15027,-43.46167,6.8935,0,1,3
172.26309,-43.63627,11.4933,3,2,1
171.87665,-43.54924,5,1,1,0
172.42139,-43.6554,6.2076,1,1,0
172.41945,-43.64859,5,1,1,0
172.3445,-43.58962,5,1,1,0
172.09457,-43.59563,7.8645,0,1,3
172.33667,-43.57727,14.0326,3,0,1
172.03815,-43.58954,8.852,0,1,3
172.04362,-43.58209,12.7174,3,0,1
171.93301,-43.50891,11.3858,3,0,1
172.42651,-43.61386,8.4279,0,1,3
171.981,-43.52064,10.0522,0,1,3
172.09627,-43.58116,6.6108,1,1,0
172.30588,-43.57518,9.9105,0,1,3
172.07645,-43.62188,7.1391,1,1,3
171.87042,-43.5463,5,1,1,0
172.29759,-43.57589,11.3568,3,0,1
172.15967,-43.52707,9.621,0,1,3
171.98218,-43.52419,5,1,1,0
172.19775,-43.6185,5,1,1,0
172.36713,-43.56803,22.6799,2,0,2
172.16035,-43.49445,7.0086,0,1,3
172.3916,-43.56511,9.8504,0,1,3
172.21344,-43.57799,15.1819,3,0,1
172.24231,-43.55423,11.5824,3,2,1
172.21379,-43.63201,5,1,1,0
172.16214,-43.48512,5.9286,1,1,0
172.39746,-43.58581,5,1,1,0
172.20213,-43.598,5,1,1,0
171.91266,-43.56144,5,1,1,0
172.18985,-43.4667,5,1,1,0
172.18355,-43.44917,5,1,1,0
172.15215,-43.50172,5,1,1,0
172.33322,-43.5995,8.2243,0,1,3
172.31989,-43.63719,5,1,1,0
172.57639,-43.62542,24.0742,2,0,2
172.31593,-43.56948,5,1,1,0
172.52415,-43.55025,21.0848,2,0,2
172.43193,-43.57899,15.5539,2,0,1
172.16052,-43.58697,5,1,1,0
172.0088,-43.55745,6.6973,1,1,3
172.12166,-43.60501,8.464,0,1,3
172.0986,-43.51294,5,1,1,0
172.19545,-43.54142,5,1,1,0
172.1881,-43.5922,5,1,1,0
172.00301,-43.51379,12,3,2,1
171.94992,-43.47793,10.5874,0,0,3
172.19292,-43.59906,5,1,1,0
172.15111,-43.49399,7.6852,0,1,3
171.95787,-43.52837,17.3945,3,0,1
172.41998,-43.65785,8.3737,0,1,3
172.64563,-43.62341,19.0038,2,0,2
172.3681,-43.65718,5,1,1,0
172.34909,-43.64157,5,1,1,0
172.1776,-43.48444,10.8446,0,0,1
172.20988,-43.57866,12,3,2,1
172.44025,-43.53471,16.2498,2,0,1
172.1217,-43.62795,5,1,1,0
172.17479,-43.46814,5.8776,1,1,0
171.88933,-43.56837,8.9324,3,1,3
172.33469,-43.68073,5,1,1,0
171.76793,-43.5664,5,1,1,0
172.38113,-43.58765,13.6433,3,0,1
172.2957,-43.58936,12,3,2,1
172.40912,-43.61632,5,1,1,0
172.01489,-43.55053,5,1,1,0
172.24362,-43.58006,5,1,1,0
171.91075,-43.56587,5,1,1,0
172.29861,-43.60468,5,1,1,0
172.37221,-43.62337,11.6033,3,2,1
171.98225,-43.60041,5,1,1,0
172.4422,-43.65592,5,1,1,0
172.35045,-43.59398,5,1,1,0
171.87764,-43.59034,5,1,1,0
172.18607,-43.45727,5,1,1,0
172.03004,-43.71103,5,1,1,0
172.24127,-43.59666,5,1,1,0
172.40393,-43.62034,8.3031,0,1,3
172.23857,-43.65031,14.7997,3,0,1
172.31216,-43.56051,5,1,1,0
172.21492,-43.56371,5,1,1,0
172.3909,-43.61522,12,3,2,1
172.28584,-43.56379,5,1,1,0
172.14253,-43.61903,5,1,1,0
171.86209,-43.55952,12,3,2,1
172.03871,-43.56707,6.7499,1,1,3
172.28329,-43.59722,5,1,1,0
172.05132,-43.5977,5,1,1,0
172.1559,-43.58944,5,1,1,0
172.17863,-43.60236,5,1,1,0
172.26147,-43.50686,5,1,1,0
172.34186,-43.58797,5,1,1,0
171.91864,-43.59831,5,1,1,0
171.93265,-43.5714,5,1,1,0
172.39465,-43.60268,5,1,1,0
172.38315,-43.6246,7.43,0,1,3
172.41464,-43.63718,5,1,1,0
171.86908,-43.56821,5,1,1,0
172.78311,-43.67744,22.3925,2,0,2
172.36015,-43.62086,12,3,2,1
172.13179,-43.48333,8.3551,0,1,3
172.37329,-43.64251,5,1,1,0
172.12587,-43.52039,8.6746,0,1,3
172.14586,-43.57332,5,1,1,0
172.35283,-43.62333,5,1,1,0
172.14256,-43.57784,5,1,1,0
172.35619,-43.57591,5,1,1,0
172.18134,-43.59245,5,1,1,0
172.41757,-43.61236,12,3,2,1
171.74586,-43.68582,12,0,2,1
172.22552,-43.56639,11.4839,3,0,1
172.21689,-43.58671,15.4167,2,0,1
172.24094,-43.65182,17.2655,2,0,1
171.97409,-43.51653,5,1,1,0
172.18736,-43.58545,5,1,1,0
172.45381,-43.62324,8.3596,0,1,3
172.18239,-43.49659,6.4955,0,1,0
171.98123,-43.5359,5,1,1,0
172.21678,-43.56539,5,1,1,0
172.06158,-43.60017,5,1,1,0
172.71423,-43.53712,21.4778,2,0,2
172.2014,-43.63544,5,1,1,0
172.23175,-43.5606,12,3,2,1
172.38969,-43.629,5,1,1,0
172.15208,-43.57822,5,1,1,0
172.1759,-43.47049,5,1,1,0
171.93036,-43.56152,5,1,1,0
172.37663,-43.64319,6.4204,1,1,0
172.20227,-43.57238,5,1,1,0
172.16713,-43.45979,5,1,1,0
172.38457,-43.56495,5,1,1,0
172.13434,-43.52434,5,1,1,0
172.36519,-43.58719,5,1,1,0
172.32555,-43.54547,5,1,1,0
172.1993,-43.48877,9.1478,0,1,3
172.24591,-43.61634,5,1,1,0
171.84972,-43.56121,5,1,1,0
172.19493,-43.56981,5,1,1,0
172.17209,-43.59524,5,1,1,0
172.06744,-43.61099,5,1,1,0
172.28746,-43.6149,5,1,1,0
172.30405,-43.55462,5,1,1,0
172.34734,-43.60829,5,1,1,0
171.87758,-43.56702,5,1,1,0
172.25801,-43.60332,5,1,1,0
