longitude, latitude, magnitude, depth,
172.16794,-43.52731,7.2,11.0426,
172.32367,-43.55426,5.815,10.0257,
172.38512,-43.6585,5.114,7.8273,
172.29477,-43.5661,5.532,11.8823,
172.18575,-43.4711,5.434,6.2919,
172.11847,-43.49201,5.162,10.1591,
172.11028,-43.62283,5.335,17.6058,
172.21217,-43.59541,4.921,14.2405,
172.4296,-43.68362,4.565,8.317,
172.54439,-43.58787,4.75,24.8006,
172.30362,-43.58586,4.971,9.8851,
172.37521,-43.66354,4.822,5,
172.23647,-43.64153,4.945,11.2593,
172.27835,-43.63268,4.912,8.1763,
172.41315,-43.60732,4.979,9.3622,
172.16673,-43.60926,5.144,9.4878,
172.27443,-43.61766,4.569,12.7419,
172.40707,-43.64999,4.491,11.324,
172.16286,-43.46124,5.359,6.6817,
172.40086,-43.60709,4.727,18.6778,
172.17003,-43.47633,4.817,7.1462,
172.23813,-43.57198,4.516,5,
171.90025,-43.64566,4.414,5,
172.35774,-43.6156,4.429,13.2374,
172.19954,-43.61805,4.382,31.4,
172.44824,-43.6536,4.324,6.1263,
172.32207,-43.60859,4.95,8.559,
172.48775,-43.54868,4.174,20.357,
172.15205,-43.52158,4.664,9.2996,
172.36874,-43.60562,4.343,9.4366,
172.40279,-43.59917,5.468,7.4831,
172.20514,-43.6309,4.751,9.5176,
172.25459,-43.62086,3.737,11.1523,
172.12369,-43.65435,4.522,10.1487,
172.41252,-43.47221,4.292,5,
172.20256,-43.60182,4.686,9.1392,
172.21004,-43.61625,5.504,8.0537,
172.42267,-43.60178,4.767,7.4454,
172.22412,-43.60673,4.315,9.514,
172.39214,-43.61933,4.214,9.1659,
172.54507,-43.61502,3.962,21.6932,
171.96542,-43.42382,3.956,11.9575,
172.27841,-43.62322,4.699,8.872,
172.37897,-43.55125,3.821,5,
172.24101,-43.62859,3.851,5,
172.11301,-43.54909,4.117,9.9906,
172.45435,-43.61747,4.245,7.0828,
172.37834,-43.41101,3.564,33,
172.4102,-43.60401,4.301,8.8772,
171.96031,-43.51437,3.95,5,
172.43463,-43.63962,3.587,5,
172.32454,-43.59659,3.547,5,
172.44044,-43.66763,3.753,5,
172.49609,-43.6358,4.203,18.0402,
172.37679,-43.59209,4.529,10,
172.1541,-43.59937,4.728,8.3859,
172.18248,-43.58258,5.05,5.7404,
171.90456,-43.5519,4.19,10.477,
171.92424,-43.5533,4.202,7.6136,
172.09161,-43.61933,4.18,11.0415,
172.35083,-43.58913,3.412,12,
171.86795,-43.55365,4.575,12,
172.15027,-43.46167,4.113,6.8935,
172.26309,-43.63627,4.255,11.4933,
171.87665,-43.54924,4.266,5,
172.42139,-43.6554,3.942,6.2076,
172.41945,-43.64859,3.596,5,
172.3445,-43.58962,3.282,5,
172.09457,-43.59563,4.692,7.8645,
172.33667,-43.57727,3.971,14.0326,
172.03815,-43.58954,4.118,8.852,
172.04362,-43.58209,4.441,12.7174,
171.93301,-43.50891,3.986,11.3858,
172.42651,-43.61386,4.408,8.4279,
171.981,-43.52064,4.397,10.0522,
172.09627,-43.58116,3.702,6.6108,
172.30588,-43.57518,3.814,9.9105,
172.07645,-43.62188,3.979,7.1391,
171.87042,-43.5463,3.919,5,
172.29759,-43.57589,3.986,11.3568,
172.15967,-43.52707,4.514,9.621,
171.98218,-43.52419,4.533,5,
172.19775,-43.6185,4.233,5,
172.36713,-43.56803,3.695,22.6799,
172.16035,-43.49445,4.071,7.0086,
172.3916,-43.56511,4.264,9.8504,
172.21344,-43.57799,4.171,15.1819,
172.24231,-43.55423,3.813,11.5824,
172.21379,-43.63201,3.455,5,
172.16214,-43.48512,4.293,5.9286,
172.39746,-43.58581,3.29,5,
172.20213,-43.598,4.073,5,
